SITE_ID,START_DATETIME,END_DATETIME,REF_SOIL_MOISTURE,REF_BULKDENSITY,REF_LATTICEWATER,REF_Q0,REF_C0,REF_CTS_MOD_CORR,REF_CTS_MOD2_CORR,REF_CTS_BARE_CORR,REF_CTS_SNOW_CORR,N0_MOD,N0_MOD2,N0_BARE,N0_SNOW,COSMOS_FACTOR_PROBE_MOD,COSMOS_FACTOR_PROBE_MOD2,COSMOS_FACTOR_PROBE_BARE,COSMOS_FACTOR_PROBE_SNOW,THETA_MIN,THETA_MAX,THETA_MIN_DATE,THETA_MAX_DATE,REF_SOC,CALIBRATION_COMMENT,PROBE_EFFDEPTH,N_MIN,METHOD,SOIL_COMMENT,N_MAX,L,ACTIVE,REF_BULKDENSITY_STD,REF_LATTICEWATER_STD,REF_SOC_STD
HARTW,2014-07-30 00:00:00,2014-07-31 00:00:00,0.365,0.98,0.033,10.363,156.615,1586.476,,,,3078.13,,,,1,1,1,1,,,,,0.043,,,1350.373,1,Typical mineral soil,,,1,,,
HARTW,2014-07-30 00:00:00,2014-07-31 00:00:00,0.356,1.02,0.033,10.363,156.615,1586.476,,,,3054.0308,,,,1,1,1,1,,,,,0.043,,probe effective depth varies from 22.4 (1 m radius) to 16.2 cm (200 m radius) on calibration day),1346.75964,2,Typical mineral soil,2428.06641,136.596,1,,,
HARTW,2014-07-30 00:00:00,2014-07-31 00:00:00,0.356,1.02,0.033,10.363,156.615,1586.478,,,,3041.419,,,,1,1,1,1,,,,,0.043,,probe effective depth varies from 22.4 (1 m radius) to 16.2 cm (200 m radius) on calibration day),1341.198,3,Typical mineral soil,2418.04,130.0,0,0.15,0.0066,0.0037
HARTW,2014-07-30 00:00:00,2014-07-31 00:00:00,0.356,1.02,0.033,10.363,156.615,1593.072,,,,3054.061,,,,1,1,1,1,,,,,0.043,,probe effective depth varies from 22.4 (1 m radius) to 16.2 cm (200 m radius) on calibration day),1346.773,3,Typical mineral soil,2428.091,136.596,0,0.15,0.0066,0.0037
HARWD,2017-06-14 00:00:00,2017-06-15 00:00:00,0.591,0.35,0.009,10.294,165.47108,951.864,,,,2338.92599,,,,1,1,1,1,,,,,0.304,radial and vertical weighted mean from 0-25 cm data,57.6 (1 m radius) to 43.3 cm (200 m radius),927.60771,2,Extremely organic forest soil with little mineral material ,1311.63472,136.018,1,,,
HARWD,2017-06-14 00:00:00,2017-06-15 00:00:00,0.591,0.33,0.009,10.294,165.533,951.868,,,,2330.643,,,,1,1,1,1,,,,,0.304,radial and vertical weighted mean from 0-25 cm data,57.6 (1 m radius) to 43.3 cm (200 m radius),921.452,3,Extremely organic forest soil with little mineral material ,1306.99,130.0,0,0.23,0.0034,0.1
HARWD,2017-06-14 00:00:00,2017-06-15 00:00:00,0.591,0.33,0.009,10.294,165.471,959.378,,,,2349.031,,,,1,1,1,1,,,,,0.304,radial and vertical weighted mean from 0-25 cm data,57.6 (1 m radius) to 43.3 cm (200 m radius),928.722,3,Extremely organic forest soil with little mineral material ,1317.301,136.018,0,0.23,0.0034,0.1
HENFS,2016-10-06 00:00:00,2016-10-07 00:00:00,0.507,0.86,0.022,6.568,163.79688,1492.373,,,,3168.70498,,,,1,1,1,1,,,,,0.077,radial and vertical weighted mean from 0-25 cm data,22.0cm (1m radius) to 16.1cm (200m radius),1364.72069,2,Mineral soil with very high organic matter,2375.16648,136.104,1,,,
HENFS,2016-10-06 00:00:00,2016-10-07 00:00:00,0.507,0.97,0.022,6.568,163.76,1492.376,,,,3098.265,,,,1,1,1,1,,,,,0.077,radial and vertical weighted mean from 0-25 cm data,22.0cm (1m radius) to 16.1cm (200m radius),1353.642,3,Mineral soil with very high organic matter,2322.367,130.0,0,0.26,0.001,0.0041
HENFS,2016-10-06 00:00:00,2016-10-07 00:00:00,0.507,0.97,0.022,6.568,163.797,1497.458,,,,3108.816,,,,1,1,1,1,,,,,0.077,radial and vertical weighted mean from 0-25 cm data,22.0cm (1m radius) to 16.1cm (200m radius),1358.252,3,Mineral soil with very high organic matter,2330.275,136.104,0,0.26,0.001,0.0041
HILLB,2016-10-19 00:00:00,2016-10-20 00:00:00,0.45,1.11,0.021,7.537,162.36558,1569.132,,,,3064.36972,,,,1,1,1,1,,,,,0.042,radial and vertical weighted mean from 0-25 cm data,18.9cm (1m radius) to 13.8cm (200m radius),1369.43934,2,Typical mineral soil,2530.9628,136.756,1,,,
HILLB,2016-10-19 00:00:00,2016-10-20 00:00:00,0.45,1.15,0.021,7.537,162.364,1569.134,,,,3053.22,,,,1,1,1,1,,,,,0.042,radial and vertical weighted mean from 0-25 cm data,18.9cm (1m radius) to 13.8cm (200m radius),1371.296,3,Typical mineral soil,2521.754,130.0,0,0.18,0.0042,0.0052
HILLB,2016-10-19 00:00:00,2016-10-20 00:00:00,0.45,1.15,0.021,7.537,162.366,1564.355,,,,3043.92,,,,1,1,1,1,,,,,0.042,radial and vertical weighted mean from 0-25 cm data,18.9cm (1m radius) to 13.8cm (200m radius),1367.12,3,Typical mineral soil,2514.073,136.756,0,0.18,0.0042,0.0052
HLACY,2018-05-03 00:00:00,2018-05-04 00:00:00,0.292,1.27,0.017,6.548,163.54492,1814.936,,,,3103.03921,,,,1,1,1,1,,,,,0.022,radial and vertical weighted mean from 0-25 cm data,22.5 (1 m radius) to 15.6 cm (200 m radius) ,1420.6628,2,Typical mineral soil,2782.41869,137.109,1,,,
HLACY,2018-05-03 00:00:00,2018-05-04 00:00:00,0.292,1.24,0.017,6.548,163.566,1814.949,,,,3132.171,,,,1,1,1,1,,,,,0.022,radial and vertical weighted mean from 0-25 cm data,22.5 (1 m radius) to 15.6 cm (200 m radius) ,1428.668,3,Typical mineral soil,2808.54,130.0,0,0.16,0.00084,0.0013
HLACY,2018-05-03 00:00:00,2018-05-04 00:00:00,0.292,1.24,0.017,6.548,163.545,1807.409,,,,3119.158,,,,1,1,1,1,,,,,0.022,radial and vertical weighted mean from 0-25 cm data,22.5 (1 m radius) to 15.6 cm (200 m radius) ,1422.733,3,Typical mineral soil,2796.872,137.109,0,0.16,0.00084,0.0013
HOLLN,2014-06-25 00:00:00,2014-06-26 00:00:00,0.332,1.02,0.025,8.27,152.035,1438.749,,,,2692.193,,,,1,1,1,1,32.216,32.216,2014-06-25 12:00:00,2014-06-25 12:00:00,0.032,,,1190.259,1,Typical mineral soil,,,1,,,
HOLLN,2014-06-25 00:00:00,2014-06-26 00:00:00,0.364,0.96,0.025,8.27,152.03496,1438.749,,,,2763.28678,,,,1,1,1,1,,,,,0.032,,,1211.90882,2,Typical mineral soil,2326.04484,137.029,1,,,
HOLLN,2014-06-25 00:00:00,2014-06-26 00:00:00,0.364,1.06,0.025,8.27,152.035,1438.764,,,,2720.95,,,,1,1,1,1,,,,,0.032,,,1209.301,3,Typical mineral soil,2290.407,130.0,0,0.18,0.0034,0.012
HOLLN,2014-06-25 00:00:00,2014-06-26 00:00:00,0.364,1.06,0.025,8.27,152.035,1433.051,,,,2710.146,,,,1,1,1,1,,,,,0.032,,,1204.499,3,Typical mineral soil,2281.313,137.029,0,0.18,0.0034,0.012
HYBRY,2018-02-22 00:00:00,2018-02-23 00:00:00,0.411,0.88,0.006,4.027,165.225,1557.105,,,,3142.246,,,,1,1,1,1,,,,,0.066,radial and vertical weighted mean from 0-25 cm data,27.4 (1 m radius) to 19.6 cm (200 m radius)?,1360.77,2,Highly calcareous mineral soil with high soil organic carbon,2526.635,,0,,,
HYBRY,2018-02-22 00:00:00,2018-02-23 00:00:00,0.411,0.88,0.006,4.027,165.225,1557.127,,,,3142.291,,,,1,1,1,1,,,,,0.066,radial and vertical weighted mean from 0-25 cm data,27.4 (1 m radius) to 19.6 cm (200 m radius)?,1360.79,3,Highly calcareous mineral soil with high soil organic carbon,2526.671,130.0,0,0.27,0.0021,0.011
ALIC1,2015-08-04 00:00:00,2015-08-05 00:00:00,0.266,0.85,0.025,9.484,156.89971,1224.021,,,,2286.81573,,,,1,1,1,1,,,,,0.042,,probe effective depth varies from 33.3 (1 m radius) to 23.1 cm (200 m radius) on calibration day),986.71217,3,Typical mineral soil; lower bulk density may be due to higher clay and/or organic content or macropores from tree roots,1865.94112,136.98854,1,,,
BALRD,2014-07-29 00:00:00,2014-07-30 00:00:00,0.254,1.34,0.018,10.212,155.98108,1809.405,,,,2987.17659,,,,1,1,1,1,,,,,0.023,,probe effective depth varies from 21.0 (1 m radius) to 14.5 cm (200 m radius) on calibration day),1378.73745,3,Typical mineral soil,2658.43398,137.05984,1,0.14,0.00066,0.00076
BICKL,2015-02-24 00:00:00,2015-02-25 00:00:00,0.412,1.31,0.01,5.154,152.09238,1538.704,,,,2808.69693,,,,1,1,1,1,,,,,0.02,,probe effective depth varies from 18.4 (1 m radius) to 13.1 cm (200 m radius) on calibration day),1294.67345,3,Typical mineral soil,2609.95741,137.0128,1,0.23,0.00042,0.0036
BUNNY,2015-02-25 00:00:00,2015-02-26 00:00:00,0.283,1.55,0.008,6.514,152.375,1801.341,,,,2890.21457,,,,1,1,1,1,,,,,0.016,,probe effective depth varies from 18.3 (1 m radius) to 12.6 cm (200 m radius) on calibration day),1372.96761,3,Typical mineral soil with high bulk density,2755.227,137.17851,1,0.11,0.0012,0.0015
CARDT,2015-08-18 00:00:00,2015-08-19 00:00:00,0.141,1.14,0.016,8.94,154.5975,1793.594,,,,2775.65463,,,,1,1,1,1,,,,,0.04,,probe effective depth varies from 31.3 (1 m radius) to 20.8 cm (200 m radius) on calibration day),1246.50497,3,Typical mineral soil,2344.08091,137.25523,1,0.17,0.0018,0.0052
CGARW,2018-09-28 00:00:00,2018-09-29 00:00:00,0.417,0.96,0.022,7.246,166.08763,1535.81,,,,3056.62305,,,,1,1,1,1,,,,,0.048,radial and vertical weighted mean from 0-25 cm data,23.4 (1 m radius) to 17.0 cm (200 m radius),1338.4022,3,Typical mineral soil,2472.06454,136.25392,1,0.26,0.00086,0.0015
CHIMN,2013-11-13 00:00:00,2013-11-15 00:00:00,0.393,1.37,0.011,6.004,155.71638,888.586,,,,1599.05785,,,,1,1,1,1,,,,,0.027,,,741.18537,3,Calcareous mineral soil (around 20% calcium carbote),1439.31928,137.11855,1,0.095,0.0018,0.0016
CHOBH,2015-03-12 00:00:00,2015-03-13 00:00:00,0.566,0.9,0.003,5.04,150.10542,1243.319,,,,2612.70462,,,,1,1,1,1,,,,,0.031,,probe effective depth varies from 23.5 (1 m radius) to 17.3 cm (200 m radius) on calibration day),1139.45621,3,"Highly variable soil, with a mix of organic soil/material of variable thickness overlying mineral soil; low lattice and bound water",2388.74849,137.24026,1,0.37,0.0011,0.0084
COCHN,2017-10-18 00:00:00,2017-10-19 00:00:00,0.524,0.83,0.019,8.13,163.94808,1442.982,,,,3076.97774,,,,1,1,1,1,,,,,0.068,radial and vertical weighted mean from 0-25 cm data,24.5 (1 m radius) to 18.2 cm (200 m radius),1321.36048,3,Mineral soil with high soil organic carbon,2375.42682,136.70364,1,0.21,0.0018,0.014
COCLP,2014-12-10 00:00:00,2014-12-11 00:00:00,0.447,1.21,0.02,4.96,148.80029,1481.608,,,,2836.44429,,,,1,1,1,1,,,,,0.033,,probe effective depth varies from 17.9 (1 m radius) to 13.1 cm (200 m radius) on calibration day),1285.62191,3,Typical mineral soil,2419.35191,137.03453,1,0.084,0.0015,0.0018
CRICH,2014-12-08 00:00:00,2014-12-09 00:00:00,0.428,1.15,0.011,4.923,147.88396,1456.069,,,,2796.04503,,,,1,1,1,1,,,,,0.045,,probe effective depth varies from 19.9 (1 m radius) to 14.4 cm (200 m radius) on calibration day),1257.24195,3,Typical mineral soil,2361.30091,137.20689,1,0.15,0.0012,0.0068
EASTB,2014-09-16 00:00:00,2014-09-17 00:00:00,0.303,1.1,0.019,10.941,153.00708,1522.377,,,,2744.93611,,,,1,1,1,1,,,,,0.033,,probe effective depth varies from 24.4 (1 m radius) to 17.1 cm (200 m radius) on calibration day),1227.22414,3,Typical mineral soil,2349.20508,136.58305,1,0.19,0.0015,0.0035
ELMST,2017-01-19 00:00:00,2017-01-20 00:00:00,0.4,1.26,0.015,4.363,164.08954,1763.552,,,,3241.18122,,,,1,1,1,1,,,,,0.022,radial and vertical weighted mean from 0-25 cm data,19.9 (1 m radius) to 14.1 cm (200 m radius) ,1482.65826,3,Calcareous mineral soil (around 5% calcium carbote),2928.66312,137.07475,1,0.18,0.00096,0.0041
EUSTN,2017-01-18 00:00:00,2017-01-19 00:00:00,0.189,1.27,0.003,3.748,164.10154,2011.739,,,,3118.29253,,,,1,1,1,1,,,,,0.029,,varies from 26.9 (1 m radius) to 18.0 cm (200 m radius) on calibration day,1429.65124,3,Typical mineral soil; low lattice and bound water,2874.00507,137.33205,1,0.2,0.00026,0.0023
FINCH,2017-07-28 00:00:00,2017-07-29 00:00:00,0.279,1.33,0.007,10.482,161.42958,1800.049,,,,2991.64652,,,,1,1,1,1,,,,,0.02,radial and vertical weighted mean from 0-25 cm data,21.3 (1 m radius) to 14.7 cm (200 m radius),1383.31485,3,Calcareous mineral soil,2815.18151,137.3136,1,0.13,0.00055,0.0011
FIVET,2018-11-15 00:00:00,2018-11-16 00:00:00,0.537,0.97,0.014,8.67,164.73004,1448.86,,,,2994.22497,,,,1,1,1,1,,,,,0.039,radial and vertical weighted mean from 0-25 cm data,21.7 (1 m radius) to 16.0 cm (200 m radius),1315.64313,3,Typical mineral soil,2553.93132,136.59346,1,0.24,0.0019,0.0095
GISBN,2014-09-17 00:00:00,2014-09-18 00:00:00,0.542,0.82,0.021,10.777,153.9125,1220.12,,,,2617.31206,,,,1,1,1,1,,,,,0.061,,probe effective depth varies from 25.1 (1 m radius) to 18.6 cm (200 m radius) on calibration day),1122.93553,3,"Mineral soil with high soil organic carbon, most likely from decomposed forest litter",2047.1366,136.21358,1,0.29,0.0037,0.0035
GLENS,2014-07-28 00:00:00,2014-07-29 00:00:00,0.608,0.44,0.014,10.652,156.18125,1276.224,,,,3044.82539,,,,1,1,1,1,,,,,0.203,,,1227.12712,3,"Extremely organic soil with little mineral material, i.e. very high soil organic carbon and extremely low bulk density",1873.70484,135.74089,1,0.33,0.0034,0.059
GLENW,2016-10-20 00:00:00,2016-10-21 00:00:00,0.631,0.54,0.024,7.056,162.96017,1388.277,,,,3248.808,,,,1,1,1,1,,,,,0.153,radial and vertical weighted mean from 0-25 cm data,32.9cm (1m radius) to 25.2cm (200m radius),1331.00146,3,"Organic soil, i.e. very high soil organic carbon and low bulk density",2107.5418,136.20718,1,0.24,0.0019,0.011
HADLW,2016-12-15 00:00:00,2016-12-16 00:00:00,0.398,1.22,0.028,7.268,164.27725,1562.285,,,,2928.22762,,,,1,1,1,1,,,,,0.031,,varies from 18.6 (1 m radius) to 13.4 cm (200 m radius) on calibration day,1327.40818,3,Typical mineral soil,2449.07534,137.29587,1,0.15,0.0019,0.0014
