SITE_ID,TIMESERIES_ID,START_DATETIME,END_DATETIME,CORRECTION_FACTOR,DESCRIPTION,CORRECTION_ID
ALIC1,SWOUT_RAW,2016-07-28 15:00:00,2018-12-20 12:30:00,1.00644,Short wave radiation correction,SCALAR
ALIC1,LWIN_RAW,2016-07-28 15:00:00,2018-12-20 12:30:00,0.02559,Long wave radiation correction,LW_CORR
ALIC1,LWOUT_RAW,2016-07-28 15:00:00,2018-12-20 12:30:00,1.0337,Long wave radiation correction,LW_CORR
ALIC1,G1_RAW,2016-07-28 14:00:00,2016-07-29 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-08-01 10:30:00,2016-08-02 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-08-02 10:00:00,2016-08-03 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-08-17 00:30:00,2016-08-18 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-08-20 06:30:00,2016-08-21 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-08-21 01:30:00,2016-08-22 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-08-22 10:30:00,2016-08-23 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-10-03 10:30:00,2016-10-04 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-10-05 10:00:00,2016-10-06 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-11-02 00:00:00,2016-11-03 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2016-11-19 17:00:00,2016-11-20 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2017-01-26 13:30:00,2017-01-27 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2017-05-16 07:30:00,2017-05-17 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2017-08-25 09:00:00,2017-08-26 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2017-11-10 11:30:00,2017-11-11 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2018-03-12 12:00:00,2018-03-13 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2018-06-01 09:30:00,2018-06-02 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2018-09-14 14:30:00,2018-09-15 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2018-10-29 11:30:00,2018-10-30 00:00:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G1_RAW,2018-12-20 10:00:00,2018-12-20 11:30:00,0.1986,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-07-28 14:00:00,2016-07-29 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-08-01 10:30:00,2016-08-02 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-08-02 10:00:00,2016-08-03 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-08-17 00:30:00,2016-08-18 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-08-20 06:30:00,2016-08-21 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-08-21 01:30:00,2016-08-22 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-08-22 10:30:00,2016-08-23 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-10-03 10:30:00,2016-10-04 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-10-05 10:00:00,2016-10-06 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-11-02 00:00:00,2016-11-03 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2016-11-19 17:00:00,2016-11-20 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2017-01-26 13:30:00,2017-01-27 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2017-05-16 07:30:00,2017-05-17 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2017-08-25 09:00:00,2017-08-26 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2017-11-10 11:30:00,2017-11-11 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2018-03-12 12:00:00,2018-03-13 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2018-06-01 09:30:00,2018-06-02 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2018-09-14 14:30:00,2018-09-15 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2018-10-29 11:30:00,2018-10-30 00:00:00,1.00359,Heat flux plate correction,SCALAR
ALIC1,G2_RAW,2018-12-20 10:00:00,2018-12-20 11:30:00,1.00359,Heat flux plate correction,SCALAR
CHIMN,CTS_MOD_RAW,2021-09-07 09:00:00,,0.61759,CRS2000 set to be primary CRS. Permantent correction requires to match previous CRS1000,SCALAR
SHEEP,SWIN_RAW,2018-12-03 12:30:00,2019-06-24 13:30:00,0.90559,Short wave radiation correction,SCALAR
SHEEP,SWOUT_RAW,2018-12-03 12:30:00,2019-06-24 13:30:00,1.16402,Short wave radiation correction,SCALAR
SHEEP,LWIN_RAW,2018-12-03 12:30:00,2019-06-24 13:30:00,1.03363,Long wave radiation correction,LW_CORR
