StartDate,EndDate,tblConfig_ConfigID,TypeOfAssetID,Firmware Version,Comms Type,SpecialSettings,Config File,ConfigProcedure,CommentID,ConfigDateID,AssetID,tblConfigDates_ConfigID,TypeID,Instrument_ID,Manufacturer,Model,Version,CalInterval,ServiceInterval,CalType,ServiceType,ImagePath,Attachments
31/08/2011,,134,150,CR3000.Std.32.05,Logger,,140,,0,1018,851,134,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
25/03/2014,01/01/2020,105,23,2329 600,RS232,,111,,0,713,1041,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,09/08/2019,105,23,2329 600,RS232,,111,,0,714,1048,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,09/08/2019,105,23,2329 600,RS232,,111,,0,715,1049,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,01/01/2019,105,23,2329 600,RS232,,111,,0,716,1045,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,30/03/2019,105,23,2329 600,RS232,,111,,0,717,13,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,01/01/2020,105,23,2329 600,RS232,,111,,0,718,1054,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,09/08/2019,105,23,2329 600,RS232,,111,,0,719,1047,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,30/03/2019,105,23,2329 600,RS232,,111,,0,720,1057,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,13/09/2019,105,23,2329 600,RS232,,111,,0,721,14,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,01/01/2020,105,23,2329 600,RS232,,111,,0,722,1040,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,01/01/2018,105,23,2329 600,RS232,,111,,0,723,1039,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,01/01/2020,105,23,2329 600,RS232,,111,,0,724,1037,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,09/08/2019,105,23,2329 600,RS232,,111,,0,725,540,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,30/03/2019,105,23,2329 600,RS232,,111,,0,726,1032,105,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,,106,23,2329 600 01,RS232,,112,,0,727,1043,106,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,,106,23,2329 600 01,RS232,,112,,0,728,1044,106,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,,106,23,2329 600 01,RS232,,112,,0,729,1036,106,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,,106,23,2329 600 01,RS232,,112,,0,730,1046,106,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,,106,23,2329 600 01,RS232,,112,,0,731,1035,106,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,01/01/2021,106,23,2329 600 01,RS232,,112,,0,732,1034,106,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,,106,23,2329 600 01,RS232,,112,,0,733,1042,106,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
25/03/2014,,106,23,2329 600 01,RS232,,112,,0,734,1052,106,23,AWS_ANEM,Gill,Windmaster,3D Sonic Anemometer,,,None,Replace,W:\Instrum\LSFM_DataBase\AssetType\IMG_0044.JPG,3
