SERIAL_NUMBER,START_DATETIME,END_DATETIME,FIRMWARE,INSTRUMENT_ID
8969,31-AUG-11 00.00.00,,CR3000.Std.32.05,LOGGER
140301,25-MAR-14 12.00.00,30-MAR-19 12.00.00,2329 600,AWS_ANEM
140303,25-MAR-14 12.00.00,01-JAN-21 00.00.00,2329 600 01,AWS_ANEM
144302,25-MAR-14 12.00.00,01-JUL-17 00.00.00,2329 601,AWS_ANEM
144210,25-MAR-14 12.00.00,01-AUG-17 00.00.00,2329 601,AWS_ANEM
144209,25-MAR-14 12.00.00,01-AUG-17 00.00.00,2329 601,AWS_ANEM
140304,25-MAR-14 12.00.00,,2329 600 01,AWS_ANEM
140305,25-MAR-14 12.00.00,09-AUG-19 12.00.00,2329 600,AWS_ANEM
140313,25-MAR-14 12.00.00,,2329 600 01,AWS_ANEM
140314,25-MAR-14 12.00.00,01-JAN-20 00.00.00,2329 600,AWS_ANEM
140315,25-MAR-14 12.00.00,01-JAN-21 00.00.00,2329 601 01,AWS_ANEM
140316,25-MAR-14 12.00.00,01-JAN-18 00.00.00,2329 600,AWS_ANEM
140317,25-MAR-14 12.00.00,01-JAN-20 00.00.00,2329 600,AWS_ANEM
140318,25-MAR-14 12.00.00,01-JAN-20 00.00.00,2329 600,AWS_ANEM
140319,25-MAR-14 12.00.00,,2329 600 01,AWS_ANEM
140320,25-MAR-14 12.00.00,,2329 600 01,AWS_ANEM
140321,25-MAR-14 12.00.00,,2329 600 01,AWS_ANEM
140322,25-MAR-14 12.00.00,01-JAN-19 00.00.00,2329 600,AWS_ANEM
140401,25-MAR-14 12.00.00,,2329 600 01,AWS_ANEM
140402,25-MAR-14 12.00.00,09-AUG-19 12.00.00,2329 600,AWS_ANEM
140403,25-MAR-14 12.00.00,09-AUG-19 12.00.00,2329 600,AWS_ANEM
140404,25-MAR-14 12.00.00,09-AUG-19 12.00.00,2329 600,AWS_ANEM
140405,25-MAR-14 12.00.00,13-SEP-19 12.00.00,2329 600,AWS_ANEM
