SITE_ID,GAMMA,DATETIME_CALCULATED,METHOD,ACTIVE
ALIC1,1.18966,2017-12-13 12:00:00,,0.0
BALRD,1.26796,2017-12-13 12:00:00,,0.0
BICKL,1.29213,2017-12-13 12:00:00,,0.0
BUNNY,1.12354,2017-12-13 12:00:00,,0.0
CARDT,1.34231,2017-12-13 12:00:00,,0.0
CHIMN,1.30901,2017-12-13 12:00:00,,0.0
CHOBH,1.12944,2017-12-13 12:00:00,,0.0
COCLP,1.28466,2017-12-13 12:00:00,,0.0
CRICH,1.21347,2017-12-13 12:00:00,,0.0
EASTB,1.14965,2017-12-13 12:00:00,,0.0
ELMST,1.2,2017-12-13 12:00:00,DEFAULT,0.0
EUSTN,1.2,2017-12-13 12:00:00,DEFAULT,0.0
GISBN,1.11538,2017-12-13 12:00:00,,0.0
GLENS,1.37145,2017-12-13 12:00:00,,0.0
GLENW,1.2,2017-12-13 12:00:00,DEFAULT,0.0
HADLW,1.2,2017-12-13 12:00:00,DEFAULT,0.0
HARTW,1.02851,2017-12-13 12:00:00,,0.0
HENFS,1.06362,2018-01-19 10:00:00,,0.0
HILLB,1.2,2017-12-13 12:00:00,DEFAULT,0.0
HOLLN,1.16506,2017-12-13 12:00:00,,0.0
LIZRD,1.03736,2017-12-13 12:00:00,,0.0
LODTN,1.2,2017-12-13 12:00:00,DEFAULT,0.0
LULLN,1.50014,2017-12-13 12:00:00,,0.0
MOORH,1.26158,2017-12-13 12:00:00,,0.0
MORLY,1.25969,2017-12-13 12:00:00,,0.0
NWYKE,1.18688,2017-12-13 12:00:00,,0.0
PLYNL,1.13625,2017-12-13 12:00:00,,0.0
PORTN,1.0333,2017-12-13 12:00:00,,0.0
RDMER,1.20597,2017-12-13 12:00:00,,0.0
REDHL,1.2,2017-12-13 12:00:00,DEFAULT,0.0
RISEH,1.2,2017-12-13 12:00:00,DEFAULT,0.0
ROTHD,1.22482,2017-12-13 12:00:00,,0.0
SHEEP,0.88687,2017-12-13 12:00:00,,0.0
SOURH,1.40938,2017-12-13 12:00:00,,0.0
SPENF,1.2,2017-12-13 12:00:00,DEFAULT,0.0
STGHT,1.42018,2017-12-13 12:00:00,,0.0
STIPS,1.22516,2017-12-13 12:00:00,,0.0
TADHM,1.08357,2017-12-13 12:00:00,,0.0
WADDN,1.47256,2017-12-13 12:00:00,,0.0
WYTH1,0.76895,2017-12-13 12:00:00,,0.0
CGARW,1.2,2017-12-13 12:00:00,DEFAULT,0.0
COCHN,1.2,2017-12-13 12:00:00,DEFAULT,0.0
FINCH,1.2,2017-12-13 12:00:00,DEFAULT,0.0
HYBRY,1.2,2017-12-13 12:00:00,DEFAULT,0.0
WRTTL,1.2,2017-12-13 12:00:00,DEFAULT,0.0
HARWD,1.06584,2018-01-19 10:00:00,,0.0
MOREM,1.2,2018-11-15 12:00:00,DEFAULT,0.0
WIMPL,1.2,2019-12-04 12:00:00,DEFAULT,0.0
HLACY,1.2,2018-04-11 11:00:00,DEFAULT,0.0
FIVET,1.2,2018-06-27 12:00:00,DEFAULT,0.0
SYDLG,1.2,2018-11-27 12:00:00,DEFAULT,0.0
ALIC1,1.15682,2021-04-01 00:00:00,,0.0
BALRD,1.17367,2021-04-01 00:00:00,,0.0
BICKL,1.15382,2021-04-01 00:00:00,,0.0
BUNNY,1.22669,2021-04-01 00:00:00,,0.0
CARDT,1.0693,2021-04-01 00:00:00,,0.0
CGARW,1.2,2021-04-01 00:00:00,DEFAULT,0.0
CHIMN,1.10905,2021-04-01 00:00:00,,0.0
CHOBH,1.25764,2021-04-01 00:00:00,,0.0
COCHN,1.2,2021-04-01 00:00:00,DEFAULT,0.0
COCLP,1.29018,2021-04-01 00:00:00,,0.0
CRICH,1.52013,2021-04-01 00:00:00,,0.0
EASTB,1.225,2021-04-01 00:00:00,,0.0
ELMST,1.2,2021-04-01 00:00:00,DEFAULT,0.0
EUSTN,1.2,2021-04-01 00:00:00,DEFAULT,0.0
FINCH,1.2,2021-04-01 00:00:00,DEFAULT,0.0
FIVET,1.2,2021-04-01 00:00:00,DEFAULT,0.0
GISBN,1.22843,2021-04-01 00:00:00,,0.0
GLENS,1.49673,2021-04-01 00:00:00,,0.0
GLENW,1.2,2021-04-01 00:00:00,DEFAULT,0.0
HADLW,1.2,2021-04-01 00:00:00,DEFAULT,0.0
HARTW,1.15242,2021-04-01 00:00:00,,0.0
HARWD,0.98595,2021-04-01 00:00:00,,0.0
HENFS,1.2,2021-04-01 00:00:00,DEFAULT,0.0
HILLB,1.2,2021-04-01 00:00:00,DEFAULT,0.0
HLACY,1.2,2021-04-01 00:00:00,DEFAULT,0.0
HOLLN,1.20255,2021-04-01 00:00:00,,0.0
HYBRY,1.2,2021-04-01 00:00:00,DEFAULT,0.0
LIZRD,1.22258,2021-04-01 00:00:00,,0.0
LODTN,1.2,2021-04-01 00:00:00,DEFAULT,0.0
LULLN,1.30653,2021-04-01 00:00:00,,0.0
MOORH,1.41358,2021-04-01 00:00:00,,0.0
MOREM,1.2,2021-04-01 00:00:00,DEFAULT,0.0
MORLY,1.1403,2021-04-01 00:00:00,,0.0
NWYKE,1.09259,2021-04-01 00:00:00,,0.0
PLYNL,1.37065,2021-04-01 00:00:00,,0.0
PORTN,1.0017,2021-04-01 00:00:00,,0.0
RDMER,1.31837,2021-04-01 00:00:00,,0.0
REDHL,1.2,2021-04-01 00:00:00,DEFAULT,0.0
RISEH,1.2,2021-04-01 00:00:00,DEFAULT,0.0
ROTHD,1.00435,2021-04-01 00:00:00,,0.0
SHEEP,1.02506,2021-04-01 00:00:00,,0.0
SOURH,1.47553,2021-04-01 00:00:00,,0.0
SPENF,1.2,2021-04-01 00:00:00,DEFAULT,0.0
STGHT,1.09246,2021-04-01 00:00:00,,0.0
STIPS,1.32521,2021-04-01 00:00:00,,0.0
SYDLG,1.2,2021-04-01 00:00:00,DEFAULT,0.0
TADHM,1.20265,2021-04-01 00:00:00,,0.0
WADDN,1.18581,2021-04-01 00:00:00,,0.0
WIMPL,1.2,2021-04-01 00:00:00,DEFAULT,0.0
WRTTL,1.2,2021-04-01 00:00:00,DEFAULT,0.0
WYTH1,1.2,2021-04-01 00:00:00,DEFAULT,0.0
ALIC1,1.16022,2020-03-01 00:00:00,,0.0
BALRD,1.19587,2020-03-01 00:00:00,,0.0
BICKL,1.24174,2020-03-01 00:00:00,,0.0
BUNNY,1.22068,2020-03-01 00:00:00,,0.0
CARDT,1.2,2020-03-01 00:00:00,DEFAULT,0.0
CGARW,1.2,2020-03-01 00:00:00,DEFAULT,0.0
CHIMN,1.28258,2020-03-01 00:00:00,,0.0
CHOBH,1.27917,2020-03-01 00:00:00,,0.0
COCHN,1.2,2020-03-01 00:00:00,DEFAULT,0.0
COCLP,1.27511,2020-03-01 00:00:00,,0.0
