SITE_ID,IP_PRIVATE,IP_PUBLIC,PAKBUS,SECURITY_CODE,START_DATETIME
SPENF,172.20.29.65,93.93.232.65,39.0,19.0,2016-11-23 10:00:00
HYBRY,10.132.23.152,193.192.204.110,42.0,8.0,2017-08-16 12:30:00
FIVET,10.136.139.44,93.91.36.125,45.0,6.0,2018-06-26 00:00:00
WIMPL,193.192.211.170,10.137.255.128,48.0,23.0,2019-09-10 00:00:00
WRTTL,172.20.29.22,93.93.232.22,41.0,23.0,2017-07-04 10:30:00
CGARW,,95.129.20.179,,,2017-09-28 11:30:00
ALIC1,10.12.99.71,95.129.22.147,24.0,1.0,2015-03-06 13:30:00
BALRD,10.7.97.43,178.237.124.43,5.0,2.0,2014-05-15 17:30:00
BICKL,10.7.196.141,93.91.36.210,23.0,2.0,2015-01-28 17:00:00
BUNNY,10.12.91.162,93.91.37.4,21.0,2.0,2015-01-27 00:30:00
CARDT,10.136.139.43,91.195.123.35,27.0,3.0,2015-06-24 10:00:00
CGARW,10.16.58.159,193.192.203.235,,,
CHIMN,10.12.148.170,95.129.23.118,21.0,3.0,2013-10-02 13:30:00
CHOBH,10.11.119.42,93.93.239.67,25.0,3.0,2015-02-24 14:00:00
COCLP,10.12.108.146,93.91.47.206,16.0,3.0,2014-11-21 14:30:00
CRICH,10.7.70.219,93.91.47.219,17.0,3.0,2014-12-02 15:00:00
EASTB,10.7.193.62,109.70.225.62,8.0,5.0,2014-08-13 11:30:00
ELMST,10.132.23.33,193.192.203.234,37.0,5.0,2016-08-11 15:30:00
EUSTN,10.136.165.249,193.192.199.250,31.0,5.0,2016-03-31 16:00:00
GISBN,10.7.70.34,93.91.47.34,9.0,7.0,2014-08-15 12:00:00
GLENS,10.7.193.68,109.70.225.68,4.0,7.0,2014-05-14 11:30:00
GLENW,10.137.247.23,193.192.208.233,36.0,7.0,2016-06-15 15:00:00
HARTW,10.7.193.183,93.91.37.28,6.0,8.0,2014-05-20 13:30:00
HARWD,10.7.70.121,93.91.47.121,26.0,8.0,2015-05-22 12:00:00
HENFS,10.16.103.233,193.192.203.216,29.0,8.0,2015-12-17 13:00:00
HILLB,10.136.139.62,91.195.122.57,35.0,8.0,2016-06-14 17:00:00
HOLLN,10.124.254.234,95.129.23.106,1.0,8.0,2014-03-25 12:30:00
LIZRD,10.12.91.83,178.237.124.97,12.0,12.0,2014-10-17 12:00:00
LODTN,1172.20.112.125,178.237.121.125,33.0,12.0,2016-04-26 15:00:00
LULLN,10.12.108.153,193.192.203.236,20.0,12.0,2014-12-16 15:30:00
MOORH,10.7.97.131,178.237.124.131,18.0,13.0,2014-12-04 11:30:00
MORLY,10.7.70.111,93.91.47.111,3.0,13.0,2014-05-14 05:00:00
NWYKE,10.12.91.71,93.91.47.134,11.0,14.0,2014-10-16 09:00:00
PLYNL,10.12.77.243,93.93.239.83,13.0,16.0,2014-11-05 12:30:00
PORTN,10.136.139.63,93.91.37.204,19.0,16.0,2014-12-18 10:30:00
RDMER,10.7.177.204,178.237.113.204,22.0,18.0,2015-02-10 10:30:00
REDHL,10.12.106.248,193.192.203.217,30.0,18.0,2016-02-18 16:00:00
RISEH,10.136.165.251,193.192.199.252,34.0,18.0,2016-05-04 16:00:00
ROTHD,10.12.108.163,93.93.232.207,7.0,18.0,2014-07-25 08:00:00
SHEEP,10.12.148.168,95.129.23.117,1.0,19.0,2013-10-24 14:30:00
SOURH,,67.206.156.63,15.0,19.0,2014-11-19 11:00:00
STGHT,10.136.139.45,93.91.35.127,28.0,19.0,2015-08-19 06:30:00
STIPS,178.237.117.153,193.192.199.251,14.0,19.0,2014-11-06 15:00:00
TADHM,10.12.106.90,93.93.239.107,10.0,20.0,2014-10-14 12:00:00
WADDN,10.12.150.105,95.129.20.180,1.0,23.0,2013-11-04 18:30:00
WYTH1,10.12.147.232,95.129.20.179,1.0,23.0,2013-11-26 00:30:00
HADLW,10.137.247.1,193.192.208.211,38.0,8.0,2016-10-27 14:30:00
FINCH,10.132.23.51,193.192.203.250,40.0,6.0,2017-06-07 11:30:00
MOREM,10.76.86.227,178.211.199.247,46.0,13.0,2018-11-15 00:00:00
SYDLG,10.137.247.1,193.192.208.211,47.0,19.0,2018-11-27 00:00:00
COCHN,10.132.49.8,193.192.223.214,43.0,3.0,2017-08-23 00:00:00
HADLW,,193.192.197.144,38.0,8.0,
HLACY,10.127.34.145,185.101.120.143,44.0,8.0,2018-04-11 00:00:00
TADHM,,193.192.223.53,10.0,20.0,2018-04-26 12:00:00
