PARAMETER_ID,PARAMETER_NAME
AIR_DENSITY,Air density
ALBEDO,Albedo
BUCKET_LEVEL,Level of rain gauge bucket
COND,Electrical conductivity
CTS,Neutron counts
DIAG_CRNS,Diagnostic flag for CRNS tube
DIAG_PRECIP,Diagnostic flag for precipitation gauge
EFF_DEPTH,Effective Depth
FACTOR_INTEN,COSMOS intensity factor
FACTOR_PA,COSMOS pressure factor
FACTOR_Q,COSMOS water vapour factor
FLUX_MOM,Momentum flux
FRICTIONV,Friction velocity
HEATFLUX_SENSIBLE,Sensible heat flux
HEATFLUX_SOIL,Soil heat flux
IMAGE_COLOUR_AMOUNT_B,Amount of blue in an image
IMAGE_COLOUR_PROPORTION_B,Proportion of blue in an image
IMAGE_COLOUR_AMOUNT_G,Amount of green in an image
IMAGE_COLOUR_PROPORTION_G,Proportion of green in an image
IMAGE_COLOUR_AMOUNT_R,Amount of red in an image
IMAGE_COLOUR_PROPORTION_R,Proportion of red in an image
LWIN,Incoming longwave radiation (corrected)
LWIN_UNC,Incoming longwave radiation (uncorrected)
LWOUT,Outgoing longwave radiation (corrected)
LWOUT_UNC,Outgoing longwave radiation (uncorrected)
PA,Atmospheric pressure
PE,Potential Evaporation
PERM,Electrical permittivity
PRECIPITATION,Precipitation
PRECIPITATION_INTEN,Precipitation intensity
Q,Absolute humidity
RH,Relative humidity
RN,Net radiation
SCANS_LOGGER,Number of samples within interval
SCANS_METPAK,Number of MetPak samples within interval
SMI,Soil moisture index
SNOW_DAY,Snow day
SNOWD_DISTANCE_COR,Distance between sensor and snow surface (corrected)
SNOWD_DISTANCE_UNC,Distance between sensor and snow surface (uncorrected)
SNOWD_SIGNALQUALITY,Quality number
STATUS_P_HEATING,Status of Pluvio orifice rim heating element
STATUS_PLUVIO,Status of Pluvio rain gauge
SWE,Snow water equivalent
SWIN,Incoming shortwave radiation
SWOUT,Outgoing shortwave radiation
TEMP_AIR,Air temperature
TEMP_CRNS,Temperature in CRNS tube
TEMP_LOADCELL,Temperature of Pluvio load cell
TEMP_RADIOMETER,Radiometer body temperature
TEMP_SOIL,Soil temperature
TEMP_SONIC,Sonic temperature
VAPOUR_P,Vapour pressure
VOLTAGE,Battery voltage
VWC_CNRS,Volumetric water content from CRNS tube
VWC_SOIL,Soil volumetric water content
WD,Wind direction
WETNESS_INDEX,Wetness index
WS,Wind speed
