TIMESERIES_ID,MINVAL,MAXVAL
COSMOS-ALIC1-PRECIP_TIPPING_A_30MIN_RAW,-0.01,20
COSMOS-ALIC1-PRECIP_TIPPING_B_30MIN_RAW,-0.01,20
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,-30,25
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,-8000,5
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,0,6
COSMOS-ALIC1-CTS_MOD_RH_30MIN_RAW,-3,10
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_RAW,-0.01,50
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,0,100
COSMOS-ALIC1-TDT1_TSOIL_30MIN_RAW,-5,35
COSMOS-ALIC1-TDT1_SOILPERM_30MIN_RAW,0,50
COSMOS-ALIC1-TDT1_SOILEC_30MIN_RAW,0,25
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,0,100
COSMOS-ALIC1-TDT2_TSOIL_30MIN_RAW,-5,35
COSMOS-ALIC1-TDT2_SOILPERM_30MIN_RAW,0,50
COSMOS-ALIC1-TDT2_SOILEC_30MIN_RAW,0,25
COSMOS-ALIC1-WD_30MIN_RAW,-0.0001,360
COSMOS-ALIC1-WS_30MIN_RAW,0,20
COSMOS-ALIC1-PA_30MIN_RAW,800,1200
COSMOS-ALIC1-RH_30MIN_RAW,10,105
COSMOS-ALIC1-TA_30MIN_RAW,-35,40
COSMOS-ALIC1-Q_30MIN_RAW,0,20
COSMOS-ALIC1-SWIN_30MIN_RAW,-10,1200
COSMOS-ALIC1-SWOUT_30MIN_RAW,-10,1200
COSMOS-ALIC1-LWIN_30MIN_RAW,150,700
COSMOS-ALIC1-LWOUT_30MIN_RAW,150,700
COSMOS-ALIC1-TNR01C_30MIN_RAW,-150,40
COSMOS-ALIC1-PRECIP_30MIN_RAW,-0.01,100
COSMOS-ALIC1-SNOWD_DISTANCE_UNC_30MIN_RAW,-0.01,5
COSMOS-ALIC1-CTS_MOD_30MIN_RAW,100,1400
COSMOS-ALIC1-CTS_BARE_30MIN_RAW,0,1000
COSMOS-ALIC1-PROFILE_VWC15_30MIN_RAW,0,100
COSMOS-ALIC1-PROFILE_SOILEC15_30MIN_RAW,0,250
COSMOS-ALIC1-PROFILE_VWC40_30MIN_RAW,0,100
COSMOS-ALIC1-PROFILE_SOILEC40_30MIN_RAW,0,250
COSMOS-ALIC1-PROFILE_VWC65_30MIN_RAW,0,100
COSMOS-ALIC1-PROFILE_SOILEC65_30MIN_RAW,0,250
COSMOS-ALIC1-STP_TSOIL50_30MIN_RAW,-5,35
COSMOS-ALIC1-STP_TSOIL20_30MIN_RAW,-5,35
COSMOS-ALIC1-STP_TSOIL10_30MIN_RAW,-5,35
COSMOS-ALIC1-STP_TSOIL5_30MIN_RAW,-5,35
COSMOS-ALIC1-STP_TSOIL2_30MIN_RAW,-5,35
COSMOS-ALIC1-G1_30MIN_RAW,-350,350
COSMOS-ALIC1-G1_CAL_30MIN_RAW,5,55
COSMOS-ALIC1-G2_30MIN_RAW,-350,350
COSMOS-ALIC1-G2_CAL_30MIN_RAW,5,55
COSMOS-ALIC1-UX_30MIN_RAW,-9000,25
COSMOS-ALIC1-UZ_30MIN_RAW,-9000,25
COSMOS-ALIC1-UY_30MIN_RAW,-30,30
COSMOS-ALIC1-COV_UX_UY_30MIN_RAW,-90,110
COSMOS-ALIC1-COV_UX_UZ_30MIN_RAW,-90,110
COSMOS-ALIC1-COV_UY_UZ_30MIN_RAW,-90,110
COSMOS-ALIC1-SNOWD_DISTANCE_COR_30MIN_RAW,-5,2
COSMOS-ALIC1-WS_RES_30MIN_RAW,0,25
COSMOS-ALIC1-HS_30MIN_RAW,-8000,8000
COSMOS-ALIC1-TAU_30MIN_RAW,-3000,150
COSMOS-ALIC1-U_STAR_30MIN_RAW,-0.01,10
COSMOS-ALIC1-TS_30MIN_RAW,-15,50
COSMOS-ALIC1-COV_TS_UX_30MIN_RAW,-30,25
COSMOS-ALIC1-COV_TS_UY_30MIN_RAW,-30,25
COSMOS-BALRD-PRECIP_TIPPING_A_30MIN_RAW,-0.01,20
COSMOS-BALRD-PRECIP_TIPPING_B_30MIN_RAW,-0.01,20
COSMOS-BALRD-PRECIP_TIPPING2_30MIN_RAW,-0.01,20
COSMOS-BALRD-COV_TS_UZ_30MIN_RAW,-30,25
COSMOS-BALRD-RHO_A_MEAN_30MIN_RAW,-8000,5
COSMOS-BALRD-E_SAT_MEAN_30MIN_RAW,0,6
