"MASK_FILENAME","START_DATETIME","END_DATETIME"
"BALRD_LAND1_MASK_1600_1.dat",15-05-2014 17:30,04-07-2018 00:00
"BALRD_LAND1_MASK_1600_2.dat",15-10-2019 00:30,30-11-2020 00:00
"BALRD_LAND1_MASK_2560_1.dat",15-05-2014 17:30,04-07-2018 00:00
"BALRD_LAND1_MASK_4096_1.dat",15-05-2014 17:30,04-07-2018 00:00
"BALRD_LAND1_MASK_5472_3.dat",22-09-2021 00:00,
"BALRD_LAND2_MASK_1600_1.dat",15-05-2014 17:30,04-07-2018 00:00
"BALRD_LAND2_MASK_1600_2.dat",15-10-2019 00:30,30-11-2020 00:00
"BALRD_LAND2_MASK_2560_1.dat",15-05-2014 17:30,04-07-2018 00:00
"BALRD_LAND2_MASK_4096_1.dat",15-05-2014 17:30,04-07-2018 00:00
"BALRD_LAND2_MASK_5472_3.dat",22-09-2021 00:00,
"BICKL_LAND1_MASK_1600_1.dat",28-01-2015 17:00,18-08-2018 00:00
"BICKL_LAND1_MASK_1600_2.dat",21-08-2018 00:30,
"BICKL_LAND1_MASK_2560_1.dat",28-01-2015 17:00,18-08-2018 00:00
"BICKL_LAND1_MASK_4096_1.dat",28-01-2015 17:00,18-08-2018 00:00
"BICKL_LAND1_MASK_4096_2.dat",21-08-2018 00:30,
"BUNNY_LAND1_MASK_1600_1.dat",27-01-2015 00:30,22-08-2018 08:00
"BUNNY_LAND1_MASK_1600_2.dat",22-08-2018 08:30,19-04-2023 00:00
"BUNNY_LAND1_MASK_2560_1.dat",27-01-2015 00:30,22-08-2018 08:00
"BUNNY_LAND1_MASK_4096_1.dat",27-01-2015 00:30,22-08-2018 08:00
"BUNNY_LAND1_MASK_5184_1.dat",27-01-2015 00:30,22-08-2018 08:00
"BUNNY_LAND1_MASK_5184_2.dat",22-08-2018 08:30,19-04-2023 00:00
"BUNNY_LAND1_MASK_5184_3.dat",19-04-2023 00:00,
"BUNNY_LAND2_MASK_1600_1.dat",27-01-2015 00:30,22-08-2018 08:00
"BUNNY_LAND2_MASK_1600_2.dat",22-08-2018 08:30,19-04-2023 00:00
"BUNNY_LAND2_MASK_2560_1.dat",27-01-2015 00:30,22-08-2018 08:00
"BUNNY_LAND2_MASK_4096_1.dat",27-01-2015 00:30,22-08-2018 08:00
"BUNNY_LAND2_MASK_5184_1.dat",27-01-2015 00:30,22-08-2018 08:00
"BUNNY_LAND2_MASK_5184_2.dat",22-08-2018 08:30,19-04-2023 00:00
"BUNNY_LAND2_MASK_5184_3.dat",19-04-2023 00:00,
"CARDT_LAND1_MASK_1600_1.dat",24-06-2015 10:00,
"CARDT_LAND1_MASK_2560_1.dat",24-06-2015 10:00,
"CARDT_LAND1_MASK_4096_1.dat",24-06-2015 10:00,
"CARDT_LAND1_MASK_5184_1.dat",24-06-2015 10:00,
"CHIMN_LAND1_MASK_1600_1.dat",02-10-2013 13:30,11-04-2017 12:00
"CHIMN_LAND1_MASK_1600_2.dat",11-04-2017 12:30,06-12-2017 10:00
"CHIMN_LAND1_MASK_1600_3.dat",06-12-2017 11:00,30-11-2018 00:00
"CHIMN_LAND1_MASK_1600_4.dat",30-11-2018 00:30,12-12-2018 09:00
"CHIMN_LAND1_MASK_1600_5.dat",25-06-2019 11:30,21-09-2021 09:15
"CHIMN_LAND1_MASK_2560_1.dat",02-10-2013 13:30,11-04-2017 12:00
"CHIMN_LAND1_MASK_4096_1.dat",02-10-2013 13:30,11-04-2017 12:00
"CHIMN_LAND1_MASK_4096_5.dat",25-06-2019 11:30,21-09-2021 09:15
"CHIMN_LAND1_MASK_4096_6.dat",21-09-2021 11:05,
"CHOBH_LAND1_MASK_1600_1.dat",24-02-2015 14:00,08-11-2018 11:00
"CHOBH_LAND1_MASK_1600_2.dat",08-11-2018 11:30,
"CHOBH_LAND1_MASK_2560_1.dat",24-02-2015 14:00,08-11-2018 11:00
"CHOBH_LAND1_MASK_4096_1.dat",24-02-2015 14:00,08-11-2018 11:00
"CHOBH_LAND1_MASK_5184_2.dat",08-11-2018 11:30,
"COCHN_LAND1_MASK_1600_1.dat",23-08-2017 00:00,05-07-2018 10:35
"COCHN_LAND1_MASK_2560_1.dat",23-08-2017 00:00,05-07-2018 10:35
"COCHN_LAND1_MASK_2560_2.dat",05-07-2018 10:36,
"COCLP_LAND1_MASK_1600_1.dat",21-11-2014 14:30,18-10-2018 13:50
"COCLP_LAND1_MASK_1600_2.dat",19-10-2018 10:30,06-10-2020 12:55
"COCLP_LAND1_MASK_1600_3.dat",06-10-2020 15:25,
"COCLP_LAND1_MASK_2560_1.dat",21-11-2014 14:30,18-10-2018 13:50
"COCLP_LAND1_MASK_2560_2.dat",19-10-2018 10:30,06-10-2020 12:55
"COCLP_LAND1_MASK_4096_1.dat",21-11-2014 14:30,18-10-2018 13:50
"COCLP_LAND1_MASK_4096_3.dat",06-10-2020 15:25,
