FLAG_TS,METHOD_ID,PARAM_ID,PARAM_NUMERIC_VALUE,PARAM_TS_VALUE,PARAM_TIME_VALUE
COSMOS-ALIC1-PRECIP_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,RANGE,GT,100,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-PRECIP_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-PRECIP_30MIN_RAW,PLUVIO_DIAG,DEP_TS,,PRECIP_DIAG_30MIN_RAW,
COSMOS-ALIC1-PRECIP_30MIN_RAW,PLUVIO_DIAG,GT,0,,
COSMOS-ALIC1-PRECIP_TIPPING_A_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-PRECIP_TIPPING_A_30MIN_RAW,RANGE,GT,100,,
COSMOS-ALIC1-PRECIP_TIPPING_A_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-PRECIP_TIPPING_A_30MIN_RAW,BATTERY_V,LT,10855,,
COSMOS-ALIC1-PRECIP_TIPPING_B_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-PRECIP_TIPPING_B_30MIN_RAW,RANGE,GT,100,,
COSMOS-ALIC1-PRECIP_TIPPING_B_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-PRECIP_TIPPING_B_30MIN_RAW,BATTERY_V,LT,10855,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,RANGE,LT,-30,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,RANGE,GT,25,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,RANGE,GT,5,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,SPIKE,GT,0.1,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,RANGE,GT,7,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-CTS_MOD_RH_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-CTS_MOD_RH_30MIN_RAW,RANGE,GT,100,,
COSMOS-ALIC1-CTS_MOD_RH_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-CTS_MOD_RH_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-CTS_MOD_RH_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-CTS_MOD_RH_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_RAW,RANGE,LT,5,,
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_RAW,RANGE,GT,50,,
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,RANGE,GT,100,,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,TDT_TSOIL,DEP_TS,,TDT_TSOIL_10_30MIN_RAW,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,TDT_TSOIL,LT,1,,
COSMOS-ALIC1-TDT1_VWC_30MIN_RAW,SPIKE,GT,8,,
COSMOS-ALIC1-TDT1_TSOIL_30MIN_RAW,RANGE,LT,-10,,
COSMOS-ALIC1-TDT1_TSOIL_30MIN_RAW,RANGE,GT,50,,
COSMOS-ALIC1-TDT1_TSOIL_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-TDT1_TSOIL_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-TDT1_TSOIL_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-TDT1_TSOIL_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-TDT1_TSOIL_30MIN_RAW,SPIKE,GT,8,,
COSMOS-ALIC1-TDT1_SOILPERM_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-TDT1_SOILPERM_30MIN_RAW,RANGE,GT,10,,
COSMOS-ALIC1-TDT1_SOILPERM_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-TDT1_SOILPERM_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-TDT1_SOILPERM_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-TDT1_SOILPERM_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-TDT1_SOILEC_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-TDT1_SOILEC_30MIN_RAW,RANGE,GT,25,,
COSMOS-ALIC1-TDT1_SOILEC_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-TDT1_SOILEC_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-TDT1_SOILEC_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-TDT1_SOILEC_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,RANGE,GT,100,,
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,TDT_TSOIL,DEP_TS,,TDT_TSOIL_10_30MIN_RAW,
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,TDT_TSOIL,LT,1,,
COSMOS-ALIC1-TDT2_VWC_30MIN_RAW,SPIKE,GT,8,,
COSMOS-ALIC1-TDT2_TSOIL_30MIN_RAW,RANGE,LT,-10,,
COSMOS-ALIC1-TDT2_TSOIL_30MIN_RAW,RANGE,GT,50,,
COSMOS-ALIC1-TDT2_TSOIL_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
COSMOS-ALIC1-TDT2_TSOIL_30MIN_RAW,BATTERY_V,LT,10.5,,
COSMOS-ALIC1-TDT2_TSOIL_30MIN_RAW,ERROR_CODE,VALUE,7999,,
COSMOS-ALIC1-TDT2_TSOIL_30MIN_RAW,ERROR_CODE,VALUE,8999,,
COSMOS-ALIC1-TDT2_TSOIL_30MIN_RAW,SPIKE,GT,8,,
COSMOS-ALIC1-TDT2_SOILPERM_30MIN_RAW,RANGE,LT,0,,
COSMOS-ALIC1-TDT2_SOILPERM_30MIN_RAW,RANGE,GT,10,,
COSMOS-ALIC1-TDT2_SOILPERM_30MIN_RAW,BATTERY_V,DEP_TS,,BATTV_30MIN_RAW,
