SITE_ID,TDT1,TDT2,TDT3,TDT4,TDT5,TDT6,TDT7,TDT8,TDT9,TDT10
HYBRY,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,5.0,5.0
FIVET,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
WIMPL,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
WRTTL,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
ALIC1,10.0,10.0,,,,,,,,
BALRD,10.0,10.0,,,,,,,,
BICKL,10.0,10.0,,,,,,,,
BUNNY,10.0,10.0,,,,,,,,
CARDT,10.0,10.0,,,,,,,,
CGARW,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
CHIMN,10.0,10.0,,,,,,,,
CHOBH,10.0,10.0,,,,,,,,
COCLP,10.0,10.0,,,,,,,,
CRICH,10.0,10.0,,,,,,,,
EASTB,10.0,10.0,,,,,,,,
ELMST,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
EUSTN,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
GISBN,10.0,10.0,,,,,,,,
GLENS,10.0,10.0,,,,,,,,
GLENW,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
HARTW,10.0,10.0,,,,,,,,
HARWD,10.0,10.0,,,,,,,,
HENFS,10.0,10.0,,,,,,,,
HILLB,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
HOLLN,10.0,10.0,,,,,,,,
LIZRD,10.0,10.0,,,,,,,,
LODTN,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
LULLN,10.0,10.0,,,,,,,,
MOORH,10.0,10.0,,,,,,,,
MORLY,10.0,10.0,,,,,,,,
NWYKE,10.0,10.0,,,,,,,,
PLYNL,10.0,10.0,,,,,,,,
PORTN,10.0,10.0,,,,,,,,
RDMER,10.0,10.0,,,,,,,,
REDHL,10.0,10.0,,,,,,,,
RISEH,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
ROTHD,10.0,10.0,,,,,,,,
SHEEP,10.0,10.0,,,,,,,,
SOURH,10.0,10.0,,,,,,,,
STGHT,10.0,10.0,,,,,,,,
STIPS,10.0,10.0,,,,,,,,
TADHM,10.0,10.0,,,,,,,,
WADDN,10.0,10.0,,,,,,,,
WYTH1,10.0,10.0,,,,,,,,
HADLW,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
FINCH,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
MOREM,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
SYDLG,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
COCHN,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
HLACY,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
SPENF,10.0,10.0,5.0,5.0,15.0,15.0,25.0,25.0,50.0,50.0
