TIMESERIES_DEF,TIMESERIES_NAME,PARAMETER_ID,PROCESS_LEVEL,RESOLUTION,PERIODICITY,UNIT_ID,STATISTIC_ID
BUCKET_LEVEL_1MIN_RAW,Level of rain gauge bucket,BUCKET_LEVEL,RAW,PT1M,PT1M,MM,INST
IMAGE_BCC_LAND1_1MIN_RAW,Blue chromatic coordinate in LAND1 masked image,IMAGE_COLOUR_PROPORTION,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_BCC_LAND2_1MIN_RAW,Blue chromatic coordinate in LAND2 masked image,IMAGE_COLOUR_PROPORTION,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_BLUE_LAND1_1MIN_RAW,Blue amount found in LAND1 masked image,IMAGE_COLOUR_AMOUNT,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_BLUE_LAND2_1MIN_RAW,Blue amount found in LAND2 masked image,IMAGE_COLOUR_AMOUNT,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_GCC_LAND1_1MIN_RAW,Green chromatic coordinate in LAND1 masked image,IMAGE_COLOUR_PROPORTION,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_GCC_LAND2_1MIN_RAW,Green chromatic coordinate in LAND2 masked image,IMAGE_COLOUR_PROPORTION,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_GREEN_LAND1_1MIN_RAW,Green amount found in LAND1 masked image,IMAGE_COLOUR_AMOUNT,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_GREEN_LAND2_1MIN_RAW,Green amount found in LAND2 masked image,IMAGE_COLOUR_AMOUNT,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_RCC_LAND1_1MIN_RAW,Red chromatic coordinate in LAND1 masked image,IMAGE_COLOUR_PROPORTION,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_RCC_LAND2_1MIN_RAW,Red chromatic coordinate in LAND2 masked image,IMAGE_COLOUR_PROPORTION,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_RED_LAND1_1MIN_RAW,Red amount found in LAND1 masked image,IMAGE_COLOUR_AMOUNT,RAW,PT1M,PT1M,UNITLESS,INST
IMAGE_RED_LAND2_1MIN_RAW,Red amount found in LAND2 masked image,IMAGE_COLOUR_AMOUNT,RAW,PT1M,PT1M,UNITLESS,INST
P_ACCUMULATED_RT_NRT_1MIN_RAW,Precipitation volume,PRECIPITATION,RAW,PT1M,PT1M,MM,TOTAL_PREC
P_ACCUMULATEDAL_NRT_1MIN_RAW,Precipitation accumulation,PRECIPITATION,RAW,PT1M,PT1M,MM,TOTAL_PREC
P_BUCKET_NRT_1MIN_RAW,Filtered bucket content,BUCKET_LEVEL,RAW,PT1M,PT1M,MM,INST
P_HEATING_STATUS_1MIN_RAW,Status of orifice rim heating element,STATUS_P_HEATING,RAW,PT1M,PT1M,MM,INST
P_INTENSITY_RT_1MIN_RAW,Precipitation intensity,PRECIPITATION_INTEN,RAW,PT1M,PT1M,MM,TOTAL_PREC
P_LOADCELL_TEMP_1MIN_RAW,Internal temperature of load cell,TEMP_LOADCELL,RAW,PT1M,PT1M,MM,INST
P_STATUS_1MIN_RAW,Status of rain gauge,STATUS_PLUVIO,RAW,PT1M,PT1M,MM,INST
PRECIP_1MIN_RAW,Precipitation,PRECIPITATION,RAW,PT1M,PT1M,MM,TOTAL_PREC
PRECIP_RAINE_1MIN_RAW,Precipitation,PRECIPITATION,RAW,PT1M,PT1M,MM,TOTAL_PREC
PRECIP_TIPPING_A_1MIN_RAW,Precipitation tipping bucket raingauge (counter A),PRECIPITATION,RAW,PT1M,PT1M,MM,TOTAL_PREC
PRECIP_TIPPING_B_1MIN_RAW,Precipitation tipping bucket raingauge (counter B),PRECIPITATION,RAW,PT1M,PT1M,MM,TOTAL_PREC
RAINE_INT_1M_1MIN_RAW,Precipitation intensity,PRECIPITATION_INTEN,RAW,PT1M,PT1M,MM,TOTAL_PREC
RAINE_INT_1M_HR_1MIN_RAW,Precipitation intensity in mm/h,PRECIPITATION_INTEN,RAW,PT1M,PT1M,MM,TOTAL_PREC
RAINE_INT_LR_1MIN_RAW,Precipitation intensity since last request,PRECIPITATION_INTEN,RAW,PT1M,PT1M,MM,TOTAL_PREC
RAINE_INT_LR_HR_1MIN_RAW,Precipitation intensity since last request in mm/h,PRECIPITATION_INTEN,RAW,PT1M,PT1M,MM,TOTAL_PREC
RAINE_PRECIP_TOT_1MIN_RAW,Precipitation total amount,PRECIPITATION,RAW,PT1M,PT1M,MM,TOTAL_PREC
