TIMESERIES_ID,TIMESERIES_DEF,PARAMETER_ID
COSMOS-ALIC1-PRECIP_TIPPING_A_1MIN_RAW,PRECIP_TIPPING_A_1MIN_RAW,PRECIPITATION
COSMOS-ALIC1-PRECIP_TIPPING_B_1MIN_RAW,PRECIP_TIPPING_B_1MIN_RAW,PRECIPITATION
COSMOS-ALIC1-P_INTENSITY_RT_1MIN_RAW,P_INTENSITY_RT_1MIN_RAW,PRECIPITATION_INTEN
COSMOS-ALIC1-P_ACCUMULATED_RT_NRT_1MIN_RAW,P_ACCUMULATED_RT_NRT_1MIN_RAW,PRECIPITATION
COSMOS-ALIC1-PRECIP_1MIN_RAW,PRECIP_1MIN_RAW,PRECIPITATION
COSMOS-ALIC1-P_ACCUMULATEDAL_NRT_1MIN_RAW,P_ACCUMULATEDAL_NRT_1MIN_RAW,PRECIPITATION
COSMOS-ALIC1-BUCKET_LEVEL_1MIN_RAW,BUCKET_LEVEL_1MIN_RAW,BUCKET_LEVEL
COSMOS-ALIC1-P_BUCKET_NRT_1MIN_RAW,P_BUCKET_NRT_1MIN_RAW,BUCKET_LEVEL
COSMOS-ALIC1-P_LOADCELL_TEMP_1MIN_RAW,P_LOADCELL_TEMP_1MIN_RAW,TEMP_LOADCELL
COSMOS-ALIC1-P_HEATING_STATUS_1MIN_RAW,P_HEATING_STATUS_1MIN_RAW,STATUS_P_HEATING
COSMOS-ALIC1-P_STATUS_1MIN_RAW,P_STATUS_1MIN_RAW,STATUS_PLUVIO
COSMOS-ALIC1-SWIN_MULT_30MIN_RAW,SWIN_MULT_30MIN_RAW,FACTOR_CALIB
COSMOS-ALIC1-SWOUT_MULT_30MIN_RAW,SWOUT_MULT_30MIN_RAW,FACTOR_CALIB
COSMOS-ALIC1-LWIN_MULT_30MIN_RAW,LWIN_MULT_30MIN_RAW,FACTOR_CALIB
COSMOS-ALIC1-LWOUT_MULT_30MIN_RAW,LWOUT_MULT_30MIN_RAW,FACTOR_CALIB
COSMOS-ALIC1-PRECIP_TIPPING_A_30MIN_RAW,PRECIP_TIPPING_A_30MIN_RAW,PRECIPITATION
COSMOS-ALIC1-PRECIP_TIPPING_B_30MIN_RAW,PRECIP_TIPPING_B_30MIN_RAW,PRECIPITATION
COSMOS-ALIC1-PRECIP_TIPPING2_30MIN_RAW,PRECIP_TIPPING2_30MIN_RAW,PRECIPITATION
COSMOS-ALIC1-TBR_TIP_30MIN_RAW,TBR_TIP_30MIN_RAW,FACTOR_CALIB
COSMOS-ALIC1-CTS_MOD_PERIOD_30MIN_RAW,CTS_MOD_PERIOD_30MIN_RAW,MEASURE_PERIOD
COSMOS-ALIC1-CTS_MOD2_PERIOD_30MIN_RAW,CTS_MOD2_PERIOD_30MIN_RAW,MEASURE_PERIOD
COSMOS-ALIC1-WM_NAN_COUNT_30MIN_RAW,WM_NAN_COUNT_30MIN_RAW,COUNT
COSMOS-ALIC1-RH_INTERNAL_30MIN_RAW,RH_INTERNAL_30MIN_RAW,RH
COSMOS-ALIC1-COV_TS_UZ_30MIN_RAW,COV_TS_UZ_30MIN_RAW,WS
COSMOS-ALIC1-RHO_A_MEAN_30MIN_RAW,RHO_A_MEAN_30MIN_RAW,AIR_DENSITY
COSMOS-ALIC1-E_SAT_MEAN_30MIN_RAW,E_SAT_MEAN_30MIN_RAW,VAPOUR_P
COSMOS-ALIC1-METPAK_SAMPLES_30MIN_RAW,METPAK_SAMPLES_30MIN_RAW,SCANS_METPAK
COSMOS-ALIC1-CTS_MOD_RH_30MIN_RAW,CTS_MOD_RH_30MIN_RAW,RH
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_RAW,CTS_MOD_TEMP_30MIN_RAW,TEMP_CRNS
