TIMESERIES_ID,S3_BUCKET,S3_DATASET,COLUMN_NAME
RHO_A_MEAN_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,RHO_A_MEAN
RHO_A_MEAN_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,RHO_A_MEAN
ALBEDO,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,ALBEDO
BUCKET_LEVEL_RT_RAW,ukceh-fdri-staging-timeseries-level-0,PRECIP_1MIN_2024_LOOPED,P_BUCKET_RT
P_BUCKET_NRT_RAW,ukceh-fdri-staging-timeseries-level-0,PRECIP_1MIN_2024_LOOPED,P_BUCKET_NRT
PROFILE_SOILEC15_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,PROFILE_SOILEC15
PROFILE_SOILEC15_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,PROFILE_SOILEC15
PROFILE_SOILEC40_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,PROFILE_SOILEC40
PROFILE_SOILEC40_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,PROFILE_SOILEC40
PROFILE_SOILEC65_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,PROFILE_SOILEC65
PROFILE_SOILEC65_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,PROFILE_SOILEC65
TDT1_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT1_SOILEC
TDT1_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT1_SOILEC
TDT10_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT10_SOILEC
TDT10_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT10_SOILEC
TDT2_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT2_SOILEC
TDT2_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT2_SOILEC
TDT3_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT3_SOILEC
TDT3_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT3_SOILEC
TDT4_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT4_SOILEC
TDT4_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT4_SOILEC
TDT5_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT5_SOILEC
TDT5_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT5_SOILEC
TDT6_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT6_SOILEC
TDT6_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT6_SOILEC
TDT7_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT7_SOILEC
TDT7_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT7_SOILEC
TDT8_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT8_SOILEC
TDT8_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT8_SOILEC
TDT9_SOILEC_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,TDT9_SOILEC
TDT9_SOILEC_RAW,ukceh-fdri-staging-timeseries-level-0,SOILMET_30MIN_2024_LOOPED,TDT9_SOILEC
CTS_BARE_LEVEL2,ukceh-fdri-staging-timeseries-qc,SOILMET_30MIN_2024_LOOPED,CTS_BARE
