VARIABLE_NAME,INSTRUMENT_ID
BATTV,LOGGER
COSMOSFACTOR_INTEN,DERIVED
COSMOSFACTOR_PA,DERIVED
COSMOSFACTOR_PROBE_BARE,DERIVED
COSMOSFACTOR_PROBE_MOD,DERIVED
COSMOSFACTOR_PROBE_MOD2,DERIVED
COSMOSFACTOR_PROBE_SNOW,DERIVED
COSMOSFACTOR_Q,DERIVED
COSMOS_VWC,DERIVED
COSMOS_VWC2,DERIVED
COSMOS_VWC_12HRMEAN,DERIVED
COSMOS_VWC_24HRMEAN,DERIVED
COSMOS_VWC_6HRMEAN,DERIVED
COSMOS_VWC_DAILY,DERIVED
COSMOS_VWC_FILTER,DERIVED
COSMOS_VWC_FILTER_12H,DERIVED
COSMOS_VWC_FILTER_6H,DERIVED
COV_TS_UX,AWS_ANEM
COV_TS_UY,AWS_ANEM
COV_TS_UZ,AWS_ANEM
COV_UX_UY,AWS_ANEM
COV_UX_UZ,AWS_ANEM
COV_UY_UZ,AWS_ANEM
CTS_BARE,COSMOS_BARE
CTS_MOD,COSMOS_MOD
CTS_MOD2,COSMOS_MOD
CTS_MOD_CORR,DERIVED
CTS_MOD_CORR_12HRMEAN,DERIVED
CTS_MOD_CORR_24HRMEAN,DERIVED
CTS_MOD_CORR_6HRMEAN,DERIVED
CTS_MOD_CORR_FILTER,DERIVED
CTS_MOD_CORR_FILTER_12H,DERIVED
CTS_MOD_CORR_FILTER_6H,DERIVED
CTS_MOD_DIAG_1,COSMOS_MOD
CTS_MOD_DIAG_2,COSMOS_MOD
CTS_MOD_DIAG_3,COSMOS_MOD
CTS_MOD_DIAG_4,COSMOS_MOD
CTS_MOD_DIAG_5,COSMOS_MOD
CTS_MOD_RH,COSMOS_MOD
CTS_MOD_TEMP,COSMOS_MOD
CTS_SNOW,COSMOS_SNOW
CTS_SNOW_DIAG_1,COSMOS_SNOW
CTS_SNOW_DIAG_2,COSMOS_SNOW
CTS_SNOW_DIAG_3,COSMOS_SNOW
CTS_SNOW_DIAG_4,COSMOS_SNOW
CTS_SNOW_DIAG_5,COSMOS_SNOW
CTS_SNOW_RH,COSMOS_SNOW
CTS_SNOW_TEMP,COSMOS_SNOW
EFF_DEPTH_LEVEL2H,DERIVED
E_SAT_MEAN,AWS_ANEM
G1,HF1
G1_CAL,HF1
G1_MV,HF1
G1_STD,HF1
G2,HF2
G2_CAL,HF2
G2_MV,HF2
G2_STD,HF2
HS,AWS_ANEM
LWIN,4CR
LWIN_STD,4CR
LWIN_UNC,4CR
LWIN_UNC_STD,4CR
LWOUT,4CR
LWOUT_STD,4CR
LWOUT_UNC,4CR
LWOUT_UNC_STD,4CR
METPAK_SAMPLES,AWS
PA,AWS
PA,PA
PA_STD,AWS
PA_STD,PA
PRECIP,RG
PRECIP_DIAG,RG
PRECIP_TIPPING,TBR
PRECIP_TIPPING2,TBR2
PROFILE_SOILEC15,PROFILE1
PROFILE_SOILEC40,PROFILE2
PROFILE_SOILEC65,PROFILE3
PROFILE_VWC15,PROFILE1
PROFILE_VWC40,PROFILE2
PROFILE_VWC65,PROFILE3
P_ACCUMULATEDAL_NRT,RG
P_ACCUMULATED_NRT,RG
P_ACCUMULATED_RT_NRT,RG
P_BUCKET_NRT,RG
P_BUCKET_RT,RG
P_HEATING_STATUS,RG
P_INTENSITY_RT,RG
P_LOADCELL_TEMP,RG
P_STATUS,RG
Q,AWS
Q,RH
Q_STD,AWS
Q_STD,RH
RH,AWS
RH,RH
RHO_A_MEAN,AWS_ANEM
RH_STD,AWS
RH_STD,RH
SMI_LEVEL2,DERIVED
SNOWD,SNOW_DEPTH
SNOWD_DISTANCE_COR,SNOW_DEPTH
SNOWD_DISTANCE_UNC,SNOW_DEPTH
SNOWD_SIGNALQUALITY,SNOW_DEPTH
STDEV_TS,AWS_ANEM
STDEV_UX,AWS_ANEM
STDEV_UY,AWS_ANEM
STDEV_UZ,AWS_ANEM
STP_TSOIL10,STP
STP_TSOIL2,STP
STP_TSOIL20,STP
STP_TSOIL5,STP
STP_TSOIL50,STP
SWIN,4CR
SWIN_STD,4CR
SWOUT,4CR
SWOUT_STD,4CR
TA,AWS
TA,RH
TAU,AWS_ANEM
TA_STD,AWS
TA_STD,RH
TDT10_SOILEC,TDT10
TDT10_SOILPERM,TDT10
TDT10_TSOIL,TDT10
TDT10_VWC,TDT10
TDT1_SOILEC,TDT1
TDT1_SOILPERM,TDT1
TDT1_TSOIL,TDT1
TDT1_VWC,TDT1
TDT2_SOILEC,TDT2
TDT2_SOILPERM,TDT2
TDT2_TSOIL,TDT2
TDT2_VWC,TDT2
TDT3_SOILEC,TDT3
TDT3_SOILPERM,TDT3
TDT3_TSOIL,TDT3
TDT3_VWC,TDT3
TDT4_SOILEC,TDT4
TDT4_SOILPERM,TDT4
TDT4_TSOIL,TDT4
TDT4_VWC,TDT4
TDT5_SOILEC,TDT5
TDT5_SOILPERM,TDT5
TDT5_TSOIL,TDT5
TDT5_VWC,TDT5
TDT6_SOILEC,TDT6
TDT6_SOILPERM,TDT6
TDT6_TSOIL,TDT6
TDT6_VWC,TDT6
TDT7_SOILEC,TDT7
TDT7_SOILPERM,TDT7
TDT7_TSOIL,TDT7
TDT7_VWC,TDT7
TDT8_SOILEC,TDT8
TDT8_SOILPERM,TDT8
TDT8_TSOIL,TDT8
TDT8_VWC,TDT8
TDT9_SOILEC,TDT9
TDT9_SOILPERM,TDT9
TDT9_TSOIL,TDT9
TDT9_VWC,TDT9
TNR01C,4CR
TNR01C_STD,4CR
TS,AWS_ANEM
UX,AWS_ANEM
UY,AWS_ANEM
UZ,AWS_ANEM
U_STAR,AWS_ANEM
WD,AWS_ANEM
WD_STD,AWS_ANEM
WETNESS_INDEX,DERIVED
WS,AWS_ANEM
WS_RES,AWS_ANEM
WS_STD,AWS_ANEM
