INSTRUMENT_ID,SENSOR_MAKE,SENSOR_MODEL,MANUAL,VARIABLE_NAME,COMMENT
ANEMOMETER,GILL,WindMaster,Make+model manual,COV_TS_UX,
ANEMOMETER,GILL,WindMaster,Make+model manual,COV_TS_UY,
ANEMOMETER,GILL,WindMaster,Make+model manual,COV_TS_UZ,
ANEMOMETER,GILL,WindMaster,Make+model manual,COV_UX_UY,
ANEMOMETER,GILL,WindMaster,Make+model manual,COV_UX_UZ,
ANEMOMETER,GILL,WindMaster,Make+model manual,COV_UY_UZ,
ANEMOMETER,GILL,WindMaster,Make+model manual,E_SAT_MEAN,
ANEMOMETER,GILL,WindMaster,Make+model manual,Q,
ANEMOMETER,GILL,WindMaster,Make+model manual,Q_STD,
ANEMOMETER,GILL,WindMaster,Make+model manual,RH,
ANEMOMETER,GILL,WindMaster,Make+model manual,RH_STD,
ANEMOMETER,GILL,WindMaster,Make+model manual,RHO_A_MEAN,
ANEMOMETER,GILL,WindMaster,Make+model manual,STDEV_TS,
ANEMOMETER,GILL,WindMaster,Make+model manual,STDEV_UX,
ANEMOMETER,GILL,WindMaster,Make+model manual,STDEV_UY,
ANEMOMETER,GILL,WindMaster,Make+model manual,STDEV_UZ,
ANEMOMETER,GILL,WindMaster,Make+model manual,TA,
ANEMOMETER,GILL,WindMaster,Make+model manual,TA_STD,
ANEMOMETER,GILL,WindMaster,Make+model manual,TAU,
ANEMOMETER,GILL,WindMaster,Make+model manual,TS,
ANEMOMETER,GILL,WindMaster,Make+model manual,U_STAR,
ANEMOMETER,GILL,WindMaster,Make+model manual,UX,
ANEMOMETER,GILL,WindMaster,Make+model manual,UY,
ANEMOMETER,GILL,WindMaster,Make+model manual,UZ,
ANEMOMETER,GILL,WindMaster,Make+model manual,WD,
ANEMOMETER,GILL,WindMaster,Make+model manual,WD_STD,
ANEMOMETER,GILL,WindMaster,Make+model manual,WS,
ANEMOMETER,GILL,WindMaster,Make+model manual,WS_RES,
ANEMOMETER,GILL,WindMaster,Make+model manual,WS_STD,
CRNS,Hydroinnova,CRS2000B,Make+model manual,CTS_MOD,
CRNS,Hydroinnova,CRS2000B,Make+model manual,CTS_MOD_DIAG_1,
CRNS,Hydroinnova,CRS2000B,Make+model manual,CTS_MOD_DIAG_2,
CRNS,Hydroinnova,CRS2000B,Make+model manual,CTS_MOD_DIAG_3,
CRNS,Hydroinnova,CRS2000B,Make+model manual,CTS_MOD_DIAG_4,
CRNS,Hydroinnova,CRS2000B,Make+model manual,CTS_MOD_DIAG_5,
CRNS,Hydroinnova,CRS2000B,Make+model manual,CTS_MOD_RH,
CRNS,Hydroinnova,CRS2000B,Make+model manual,CTS_MOD_TEMP,
CRNS,Hydroinnova,CRS2000B,Make+model manual,CTS_MOD2,
CRNS,Hydroinnova,SnowFox,Make+model manual,CTS_SNOW,
CRNS,Hydroinnova,SnowFox,Make+model manual,CTS_SNOW_DIAG_1,
CRNS,Hydroinnova,SnowFox,Make+model manual,CTS_SNOW_DIAG_2,
CRNS,Hydroinnova,SnowFox,Make+model manual,CTS_SNOW_DIAG_3,
CRNS,Hydroinnova,SnowFox,Make+model manual,CTS_SNOW_DIAG_4,
CRNS,Hydroinnova,SnowFox,Make+model manual,CTS_SNOW_DIAG_5,
CRNS,Hydroinnova,SnowFox,Make+model manual,CTS_SNOW_RH,
CRNS,Hydroinnova,SnowFox,Make+model manual,CTS_SNOW_TEMP,
DERIVED,na,na,Make+model manual,COSMOS_VWC,
DERIVED,na,na,Make+model manual,COSMOS_VWC_12HRMEAN,
DERIVED,na,na,Make+model manual,COSMOS_VWC_24HRMEAN,
DERIVED,na,na,Make+model manual,COSMOS_VWC_6HRMEAN,
DERIVED,na,na,Make+model manual,COSMOS_VWC_DAILY,
DERIVED,na,na,Make+model manual,COSMOS_VWC_FILTER,
DERIVED,na,na,Make+model manual,COSMOS_VWC_FILTER_12H,
DERIVED,na,na,Make+model manual,COSMOS_VWC_FILTER_6H,
DERIVED,na,na,Make+model manual,COSMOS_VWC2,
DERIVED,na,na,Make+model manual,CTS_MOD_CORR,
DERIVED,na,na,Make+model manual,CTS_MOD_CORR_12HRMEAN,
DERIVED,na,na,Make+model manual,CTS_MOD_CORR_24HRMEAN,
DERIVED,na,na,Make+model manual,CTS_MOD_CORR_6HRMEAN,
DERIVED,na,na,Make+model manual,CTS_MOD_CORR_FILTER,
DERIVED,na,na,Make+model manual,CTS_MOD_CORR_FILTER_12H,
DERIVED,na,na,Make+model manual,CTS_MOD_CORR_FILTER_6H,
DERIVED,na,na,Make+model manual,EFF_DEPTH_LEVEL2H,
DERIVED,na,na,Make+model manual,SMI_LEVEL2,
DERIVED,na,na,Make+model manual,WETNESS_INDEX,
