"PARAMETER_ID","PARAMETER_NAME"
"PRECIP_1MIN","1 minute Precipitation"
"Q","Absolute humidity"
"TA","Air temperature"
"PA","Atmospheric pressure"
"VOLTAGE","Battery voltage"
"PRECIP_DIAG","Diagnostic flag"
"SNOWD_DISTANCE_UNC","Distance between sensor and snow surface (uncorrected)"
"EFF_DEPTH","Effective Depth"
"COND","Electrical conductivity"
"PERM","Electrical permittivity"
"FACTOR","Factor"
"HEATFLUX","Heat flux"
"LWIN","Incoming longwave radiation (corrected)"
"LWIN_UNC","Incoming longwave radiation (uncorrected)"
"SWIN","Incoming shortwave radiation"
"BUCKET_LEVEL","Level of rain gauge bucket"
"RN","Net radiation"
"CTS","Neutron counts"
"LWOUT","Outgoing longwave radiation (corrected)"
"LWOUT_UNC","Outgoing longwave radiation (uncorrected)"
"SWOUT","Outgoing shortwave radiation"
"PE","Potential Evaporation"
"PRECIPITATION","Precipitation"
"PRECIPITATION_TIPPING","Precipitation (tipping bucket raingauge)"
"SNOWD_SIGNALQUALITY","Quality number"
"TNR01C","Radiometer body temperature"
"RH","Relative humidity"
"SCANS","Scans"
"SNOWD","Snow depth"
"TSOIL","Soil temperature"
"TEMP","Temperature"
"VWC","Volumetric Water Content"
"WETNESS_INDEX","Wetness index"
"WD","Wind direction"
"WS","Wind speed"
"DIAGNOSTIC","Diagnostic flag"
"SNOWD_DISTANCE_COR","Distance between sensor and snow surface (corrected)"
"AIR_DENSITY","Air density"
"FRICTIONV","Friction velocity"
"MOM_FLUX","Momentum flux"
"SAMPLES","Metpak samples"
"VAPOUR_P","Vapour pressure"
"ALBEDO","Albedo"
"IMAGE_COLOUR_AMOUNT","Amount of particular colour in an image"
"SNOW_DAY","Snow day"
"SWE","Snow water equivalent"
"IMAGE_COLOUR_PROPORTION","Proportion of particular colour in an image"
"SMI","Soil moisture index"
