VARIABLE_NAME,DESCRIPTION,PROPERTY,QUDT_QUANTITY_KIND,PROPERTY_NAME,OBJECT,CONTEXT,DOMAIN,UNIT,QUDT_UNIT,UNIT_NAME
BATTV,Datalogger Battery Voltage,voltage,Voltage,Voltage,datalogger battery,,,V,V,volt
COV_TS_UX,Covariance between sonic temperature and UX wind speed component,,,,windspeed,,atmosphere,MS-1,M-PER-SEC,metre per second
COV_TS_UY,Covariance between sonic temperature and UY wind speed component,,,,windspeed,,atmosphere,MS-1,M-PER-SEC,metre per second
COV_TS_UZ,Covariance between sonic temperature and UZ wind speed component,,,,windspeed,,atmosphere,MS-1,M-PER-SEC,metre per second
COV_UX_UY,Covariance of wind speed components UX and UY,,,,windspeed,,atmosphere,MS-1,M-PER-SEC,metre per second
COV_UX_UZ,Covariance of wind speed components UX and UZ,,,,windspeed,,atmosphere,MS-1,M-PER-SEC,metre per second
COV_UY_UZ,Covariance of wind speed components UY and UZ,,,,windspeed,,atmosphere,MS-1,M-PER-SEC,metre per second
CTS_BARE,Bare counts,count,Count,Count,fast neutrron,,,CTS,UNITLESS,
CTS_MOD,Moderated counts,count,Count,Count,fast neutrron,,,CTS,UNITLESS,
CTS_MOD2,Moderated counts 2,count,Count,Count,fast neutrron,,,CTS,UNITLESS,
CTS_MOD_DIAG_1,COSMOS moderated probe diagnostic 1,diagnostic,,Diagnostic,cosmos moderated probe,,,UNITLESS,UNITLESS,
CTS_MOD_DIAG_2,COSMOS moderated probe diagnostic 2,diagnostic,,Diagnostic,cosmos moderated probe,,,UNITLESS,UNITLESS,
CTS_MOD_DIAG_3,COSMOS moderated probe diagnostic 3,diagnostic,,Diagnostic,cosmos moderated probe,,,UNITLESS,UNITLESS,
CTS_MOD_DIAG_4,COSMOS moderated probe diagnostic 4,diagnostic,,Diagnostic,cosmos moderated probe,,,UNITLESS,UNITLESS,
CTS_MOD_DIAG_5,COSMOS moderated probe diagnostic 5,diagnostic,,Diagnostic,cosmos moderated probe,,,UNITLESS,UNITLESS,
CTS_MOD_RH,Relative humidity in COSMOS moderated tube,RH,RelativeHumidity,Relative Humidity,cosmos moderated tube,,,PERCENT,PERCENT_RH,percent
CTS_MOD_TEMP,Temperature in COSMOS moderated tube,TEMP,Temperature,Temperature,cosmos moderated tube,,,DEGC,DEG_C,degree celsius
CTS_SNOW,Below ground counts,count,Count,Count,fast neutrron,below ground,,CTS,UNITLESS,
CTS_SNOW_DIAG_1,COSMOS snow probe diagnostic 1,diagnostic,,Diagnostic,cosmos snow probe,,,UNITLESS,UNITLESS,
CTS_SNOW_DIAG_2,COSMOS snow probe diagnostic 2,diagnostic,,Diagnostic,cosmos snow probe,,,UNITLESS,UNITLESS,
CTS_SNOW_DIAG_3,COSMOS snow probe diagnostic 3,diagnostic,,Diagnostic,cosmos snow probe,,,UNITLESS,UNITLESS,
CTS_SNOW_DIAG_4,COSMOS snow probe diagnostic 4,diagnostic,,Diagnostic,cosmos snow probe,,,UNITLESS,UNITLESS,
CTS_SNOW_DIAG_5,COSMOS snow probe diagnostic 5,diagnostic,,Diagnostic,cosmos snow probe,,,UNITLESS,UNITLESS,
CTS_SNOW_RH,Relative humidity in COSMOS snow tube,RH,RelativeHumidity,Relative Humidity,cosmos snow tube,,,PERCENT,PERCENT_RH,percent
CTS_SNOW_TEMP,Temperature in COSMOS snow tube,TEMP,Temperature,Temperature,cosmos snow tube,,,DEGC,DEG_C,degree celsius
E_SAT_MEAN,Saturated water vapour pressure,VAPOUR_P,Pressure,Pressure,water vapour,saturated,atmosphere,KPA,KiloPA,kPa
G1,Soil heat flux 1,HEATFLUX,HeatFluxDensity,Heat Flux Density,soil,,lithosphere,WM-2,W-PER-M2,Wm-2
G1_CAL,Calibration (multiplier) for soil heat flux plate 1,HEATFLUX,HeatFluxDensity,Heat Flux Density,,,,UNITLESS,UNITLESS,
G1_MV,Uncalibrated soil heat flux 1,HEATFLUX,HeatFluxDensity,Heat Flux Density,soil,,lithosphere,WM-2,W-PER-M2,Wm-2
G2,Soil heat flux 2,HEATFLUX,HeatFluxDensity,Heat Flux Density,soil,,lithosphere,WM-2,W-PER-M2,Wm-2
G2_CAL,Calibration (multiplier) for soil heat flux plate 2,HEATFLUX,HeatFluxDensity,Heat Flux Density,,,,UNITLESS,UNITLESS,
G2_MV,Uncalibrated soil heat flux 2,HEATFLUX,HeatFluxDensity,Heat Flux Density,soil,,lithosphere,WM-2,W-PER-M2,Wm-2
HS,Sensible heat flux,HEATFLUX,HeatFluxDensity,Heat Flux Density,air,,atmosphere,WM-2,W-PER-M2,Wm-2
LWIN,Incoming longwave radiation (corrected),LWIN,EnergyPerArea,Radiation energy density,incoming longwave radiation,corrected,atmosphere,WM-2,W-PER-M2,Wm-2
LWIN_UNC,Incoming longwave radiation (uncorrected),LWIN,EnergyPerArea,Radiation energy density,incoming longwave radiation,uncorrected,atmosphere,WM-2,W-PER-M2,Wm-2
LWOUT,Outgoing longwave radiation (corrected),LWOUT,EnergyPerArea,Radiation energy density,outgoing longwave radiation,corrected,atmosphere,WM-2,W-PER-M2,Wm-2
LWOUT_UNC,Outgoing longwave radiation (uncorrected),LWOUT,EnergyPerArea,Radiation energy density,outgoing longwave radiation,uncorrected,atmosphere,WM-2,W-PER-M2,Wm-2
METPAK_SAMPLES,Number of half hourly samples taken,SAMPLES,,Samples taken,,,,SAMPLES,,
PA,Atmospheric pressure,PA,AtmosphericPressure,Atmospheric pressure,,,atmosphere,HPA,HectoPA,hPa
PRECIP,Precipitation total 30m,PRECIP,,Precipitation,precipitation,30 minute total,,MM,MilliM,mm
PRECIP_DIAG,Precipitation diagnostic flag,PRECIP_DIAG,,Precipitation diagnostic,,,,UNITLESS,UNITLESS,
PRECIP_TIPPING,Precipitation tipping bucket raingauge 1,PRECIPITATION_TIPPING,,Precipitation (tipping bucket),,30 minute total,,MM,MilliM,mm
PRECIP_TIPPING2,Precipitation tipping bucket raingauge 2,PRECIPITATION_TIPPING,,Precipitation (tipping bucket),,30 minute total,,MM,MilliM,mm
PROFILE_SOILEC15,Soil electrical conductivity (nominal depth 15 cm),COND,Conductivity,Electrical conductivity,soil,15 cm depth,lithosphere,PCT,,
PROFILE_SOILEC40,Soil electrical conductivity (nominal depth 40 cm),COND,Conductivity,Electrical conductivity,soil,40 cm depth,lithosphere,PCT,,
PROFILE_SOILEC65,Soil electrical conductivity (nominal depth 65 cm),COND,Conductivity,Electrical conductivity,soil,65 cm depth,lithosphere,PCT,,
PROFILE_VWC15,Soil moisture content (nominal depth 15 cm),VWC,,Moisture content,soil,15 cm depth,lithosphere,PCT,,
PROFILE_VWC40,Soil moisture content (nominal depth 40 cm),VWC,,Moisture content,soil,40 cm depth,lithosphere,PCT,,
PROFILE_VWC65,Soil moisture content (nominal depth 65 cm),VWC,,Moisture content,soil,65 cm depth,lithosphere,PCT,,
P_ACCUMULATEDAL_NRT,Sum of precipitation since the last device start,PRECIP,,Precipitation,precipitation,since last restart,,MM,MilliM,mm
P_ACCUMULATED_NRT,Sum of precipitation over the last sample interval,PRECIP,,Precipitation,precipitation,in last period,,MM,MilliM,mm
P_ACCUMULATED_RT_NRT,1 minute precipitation data,PRECIP,,Precipitation,precipitation,1 minute total,,MM,MilliM,mm
P_BUCKET_NRT,Filtered bucket content,PRECIP,,Precipitation,precipitation,filtered bucket content,,MM,MilliM,mm
P_BUCKET_RT,Level of rain gauge bucket,BUCKET_LEVEL,,Bucket level,precipitation,,,MM,MilliM,mm
P_HEATING_STATUS,Status of orifice rim heating element,,,,,,,UNITLESS,UNITLESS,
P_INTENSITY_RT,Rainfall intensity (Real-time),PRECIPITATION,,Precipitation (tipping bucket),precipitation,,,MM,MilliM,mm
P_LOADCELL_TEMP,Internal temperature of load cell,,,,,,,,,
P_STATUS,Status of raingauge,,,,,,,,,
Q,Absolute humidity,Q,AbsoluteHumidity,Absolute humidity,air,,atmosphere,GM-3,GM-PER-M3,gm-3
RH,Relative humidity,RH,RelativeHumidity,Relative Humidity,air,,atmosphere,PCT,PERCENT_RH,
RHO_A_MEAN,Air density,AIR_DENSITY,Density,Air Density,air,,atmosphere,KGM-3,KiloGM-PER-M3,Kgm-3
SNOWD,Snow Distance ,SNOWD,Distance,Snow depth,snow,,,M,M,m
